Feature,Importance
numeric__glucose_lag_1,0.4121111999890567
numeric__glucose_roc_per_min,0.12492273099288233
numeric__gsr,0.08203402052370005
numeric__glucose_roll_mean_1h,0.0692900293051726
numeric__heart_rate,0.0652059291500598
numeric__glucose_lag_6,0.06373530539321517
numeric__insulin_basal,0.04160321256428782
numeric__glucose_lag_3,0.03382992874032172
numeric__stress_level,0.029213788236606482
categorical__medication_other_steroid,0.027928443303386903
numeric__skin_temp,0.02672615181117733
categorical__sleep_stage_awake,0.012720042373138825
categorical__medication_other_beta_blocker,0.005744558678207785
categorical__medication_other_none,0.004934658938767116
categorical__device_id_Dexcom_G6,6.225460324488009e-15
numeric__carb_ratio,5.5459011865486486e-15
numeric__carbs,3.839240625877536e-15
categorical__exercise_intensity_high,2.515933114482694e-15
numeric__insulin_bolus,1.15845296230606e-15
numeric__cgm_quality_flag,1.4435211204036377e-16
categorical__sleep_stage_REM,6.84683277399606e-17
numeric__alcohol,0.0
numeric__exercise_steps,0.0
numeric__insulin_sensitivity,0.0
numeric__weight,0.0
numeric__age,0.0
numeric__hbA1c,0.0
categorical__meal_type_lunch,0.0
categorical__meal_type_dinner,0.0
categorical__meal_type_breakfast,0.0
categorical__meal_type_none,0.0
categorical__exercise_intensity_medium,0.0
categorical__exercise_intensity_none,0.0
categorical__meal_type_snack,0.0
categorical__exercise_intensity_low,0.0
categorical__medication_other_antihistamine,0.0
categorical__sleep_stage_light,0.0
categorical__sleep_stage_deep,0.0
categorical__device_id_Libre_2,0.0
categorical__device_id_Medtronic_670G,0.0
categorical__sex_F,0.0
categorical__sex_M,0.0
categorical__timezone_America/Los_Angeles,0.0
categorical__timezone_America/New_York,0.0
categorical__timezone_Europe/London,0.0
categorical__region_UK,0.0
categorical__region_USA,0.0
