Feature,Importance
numeric__glucose_lag_1,0.9796332462333285
numeric__glucose_roc_per_min,0.017820129700076733
numeric__skin_temp,0.002271313356692672
numeric__gsr,0.0002753107099021427
numeric__carbs,0.0
numeric__insulin_basal,0.0
numeric__insulin_bolus,0.0
numeric__heart_rate,0.0
numeric__stress_level,0.0
numeric__alcohol,0.0
numeric__hbA1c,0.0
numeric__age,0.0
numeric__weight,0.0
numeric__exercise_steps,0.0
numeric__cgm_quality_flag,0.0
numeric__insulin_sensitivity,0.0
numeric__carb_ratio,0.0
numeric__glucose_lag_6,0.0
numeric__glucose_lag_3,0.0
numeric__glucose_roll_mean_1h,0.0
categorical__meal_type_breakfast,0.0
categorical__meal_type_dinner,0.0
categorical__meal_type_lunch,0.0
categorical__meal_type_none,0.0
categorical__meal_type_snack,0.0
categorical__exercise_intensity_high,0.0
categorical__exercise_intensity_low,0.0
categorical__exercise_intensity_medium,0.0
categorical__exercise_intensity_none,0.0
categorical__sleep_stage_REM,0.0
categorical__sleep_stage_awake,0.0
categorical__sleep_stage_deep,0.0
categorical__sleep_stage_light,0.0
categorical__medication_other_antihistamine,0.0
categorical__medication_other_beta_blocker,0.0
categorical__medication_other_none,0.0
categorical__medication_other_steroid,0.0
categorical__device_id_Dexcom_G6,0.0
categorical__device_id_Libre_2,0.0
categorical__device_id_Medtronic_670G,0.0
categorical__sex_F,0.0
categorical__sex_M,0.0
categorical__timezone_America/Los_Angeles,0.0
categorical__timezone_America/New_York,0.0
categorical__timezone_Europe/London,0.0
categorical__region_UK,0.0
categorical__region_USA,0.0
