Feature,Importance
numeric__glucose_lag_1,0.2914936930399442
numeric__glucose_lag_3,0.24916259078983027
numeric__glucose_roll_mean_1h,0.23110512127736144
numeric__glucose_lag_6,0.13456479858031692
numeric__hbA1c,0.04195129976441174
numeric__insulin_sensitivity,0.014147005583785038
categorical__timezone_America/New_York,0.00494830913499559
categorical__device_id_Medtronic_670G,0.004892495585431378
numeric__weight,0.004453719299750737
categorical__device_id_Libre_2,0.0028043566675120097
numeric__carb_ratio,0.0027382856298459658
numeric__glucose_roc_per_min,0.002492684375079085
categorical__sex_M,0.0019693496029865444
numeric__heart_rate,0.0016462178493486846
numeric__age,0.001590465384718281
numeric__gsr,0.001477098897955104
numeric__skin_temp,0.001409516196074225
numeric__insulin_basal,0.0014048541156026423
categorical__timezone_America/Los_Angeles,0.0009824166170771744
categorical__device_id_Dexcom_G6,0.0008991563313303957
categorical__sex_F,0.0007608692298328241
numeric__stress_level,0.0006967389399506416
categorical__medication_other_beta_blocker,0.00034531795723634226
categorical__region_UK,0.00028555906231140463
categorical__medication_other_antihistamine,0.00024198390766513435
categorical__medication_other_none,0.00022993333188546966
categorical__medication_other_steroid,0.0002134666283403788
categorical__sleep_stage_awake,0.00017428980773305722
categorical__timezone_Europe/London,0.0001642138248533614
categorical__sleep_stage_light,0.0001513920312418424
categorical__region_USA,0.00015054770986189315
categorical__sleep_stage_deep,0.00010698519300454742
categorical__sleep_stage_REM,9.682221358175894e-05
numeric__carbs,8.395882363778429e-05
categorical__exercise_intensity_none,4.202954532895493e-05
numeric__insulin_bolus,3.4596264280472275e-05
numeric__alcohol,3.410713128049158e-05
categorical__exercise_intensity_low,1.73765511323014e-05
categorical__meal_type_none,1.724814181835043e-05
categorical__meal_type_lunch,8.851503068288218e-06
categorical__exercise_intensity_medium,7.595705129136454e-06
numeric__exercise_steps,2.6817734680437927e-06
numeric__cgm_quality_flag,0.0
categorical__meal_type_snack,0.0
categorical__exercise_intensity_high,0.0
categorical__meal_type_breakfast,0.0
categorical__meal_type_dinner,0.0
